"ID","ACCOUNT NAME","ACCOUNTID","LASTNAME","FIRSTNAME","FULL NAME","EMAIL ","STATUS"
"0033C00000ayiCZQAY","Sumo Logic","0013C00000mbClhQAE","Glomez","","Glomez","Dealroom1.3+Glomez@gmail.com","Item Created"
"0033C00000ayiCaQAI","Houlihan Lokey","0013C00000mbCliQAE","Jack","","Jack","Dealroom1.3+Jack@gmail.com","Item Created"
"0033C00000ayiCbQAI","Sumo Logic","0013C00000mbClhQAE","Max","","Max","Dealroom1.3+Max@gmail.com","Item Created"
"0033C00000ayiCcQAI","Maxjonic","0013C00000mbCljQAE","James","","James","Dealroom1.3+James@gmail.com","Item Created"
"0033C00000ayiCdQAI","Maxtra","0013C00000mbClkQAE","Jhon","","Jhon","Dealroom1.3+Jhon@gmail.com","Item Created"
"0033C00000ayiCeQAI","Nexus","0013C00000mbCllQAE","Kevin","","Kevin","Dealroom1.3+Kevin@gmail.com","Item Created"
"0033C00000ayiCfQAI","Acc 1","0013C00000mbClmQAE","Lenis","","Lenis","Dealroom1.3+Lenis@gmail.com","Item Created"
"0033C00000ayiCgQAI","Acc 2","0013C00000mbClnQAE","Lomez","","Lomez","Dealroom1.3+Lomez@gmail.com","Item Created"
"0033C00000ayiChQAI","Acc 3","0013C00000mbCloQAE","Martha","","Martha","Dealroom1.3+Martha@gmail.com","Item Created"
"0033C00000ayiCiQAI","Nexus","0013C00000mbCllQAE","Litz","","Litz","Dealroom1.3+Litz@gmail.com","Item Created"
"0033C00000ayiCjQAI","Acc 4","0013C00000mbClpQAE","1","Con","Con1","Dealroom1.3+Con1@gmail.com","Item Created"
"0033C00000ayiCkQAI","Acc 5","0013C00000mbClqQAE","2","con","Con2","Dealroom1.3+Con2@gmail.com","Item Created"
"0033C00000ayiClQAI","Acc 6","0013C00000mbClrQAE","3","con","Con3","Dealroom1.3+Con3@gmail.com","Item Created"
"0033C00000ayiCmQAI","Acc 7","0013C00000mbClsQAE","4","con","Con4","Dealroom1.3+Con4@gmail.com","Item Created"
"0033C00000ayiCnQAI","Acc 8","0013C00000mbCltQAE","5","con","Con5","Dealroom1.3+Con5@gmail.com","Item Created"
"0033C00000ayiCoQAI","Acc 9","0013C00000mbCluQAE","6","con","Con6","Dealroom1.3+Con6@gmail.com","Item Created"
"0033C00000ayiCpQAI","Acc 10","0013C00000mbClvQAE","7","con","Con7","Dealroom1.3+Con7@gmail.com","Item Created"
"0033C00000ayiCqQAI","Acc 11","0013C00000mbClwQAE","8","con","Con8","Dealroom1.3+Con8@gmail.com","Item Created"
"0033C00000ayiCrQAI","Acc 12","0013C00000mbClxQAE","9","con","Con9","Dealroom1.3+Con9@gmail.com","Item Created"
"0033C00000ayiCsQAI","Acc 13","0013C00000mbClyQAE","10","con","Con10","Dealroom1.3+Con10@gmail.com","Item Created"
"0033C00000ayiCtQAI","Sumo Kind","0013C00000mbClzQAE","11","con","Con11","Dealroom1.3+Con11@gmail.com","Item Created"
"0033C00000ayiCuQAI","Sumo Logic","0013C00000mbClhQAE","12","con","Con12","Dealroom1.3+Con12@gmail.com","Item Created"
"0033C00000ayiCvQAI","Houlihan Lokey","0013C00000mbCliQAE","13","con","Con13","Dealroom1.3+Con13@gmail.com","Item Created"
"0033C00000ayiCwQAI","Vertica","0013C00000mbCm0QAE","14","con","Con14","Dealroom1.3+Con14@gmail.com","Item Created"
"0033C00000ayiCxQAI","Maxjonic","0013C00000mbCljQAE","15","con","Con15","Dealroom1.3+Con15@gmail.com","Item Created"
