Account Name,ACCOUNTID,FIRSTNAME,LASTNAME,Full Name,Email 
Sumo Logic,,,Glomez,Glomez,Dealroom1.3+Glomez@gmail.com
Houlihan Lokey,,,Jack,Jack,Dealroom1.3+Jack@gmail.com
Sumo Logic,,,Max,Max,Dealroom1.3+Max@gmail.com
Maxjonic,,,James,James,Dealroom1.3+James@gmail.com
Maxtra,,,Jhon,Jhon,Dealroom1.3+Jhon@gmail.com
Nexus,,,Kevin,Kevin,Dealroom1.3+Kevin@gmail.com
Acc 1,,,Lenis,Lenis,Dealroom1.3+Lenis@gmail.com
Acc 2,,,Lomez,Lomez,Dealroom1.3+Lomez@gmail.com
Acc 3,,,Martha,Martha,Dealroom1.3+Martha@gmail.com
Nexus,,,Litz,Litz,Dealroom1.3+Litz@gmail.com
Acc 4,,Con,1,Con1,Dealroom1.3+Con1@gmail.com
Acc 5,,con,2,Con2,Dealroom1.3+Con2@gmail.com
Acc 6,,con,3,Con3,Dealroom1.3+Con3@gmail.com
Acc 7,,con,4,Con4,Dealroom1.3+Con4@gmail.com
Acc 8,,con,5,Con5,Dealroom1.3+Con5@gmail.com
Acc 9,,con,6,Con6,Dealroom1.3+Con6@gmail.com
Acc 10,,con,7,Con7,Dealroom1.3+Con7@gmail.com
Acc 11,,con,8,Con8,Dealroom1.3+Con8@gmail.com
Acc 12,,con,9,Con9,Dealroom1.3+Con9@gmail.com
Acc 13,,con,10,Con10,Dealroom1.3+Con10@gmail.com
Sumo Kind,,con,11,Con11,Dealroom1.3+Con11@gmail.com
Sumo Logic,,con,12,Con12,Dealroom1.3+Con12@gmail.com
Houlihan Lokey,,con,13,Con13,Dealroom1.3+Con13@gmail.com
Vertica,,con,14,Con14,Dealroom1.3+Con14@gmail.com
Maxjonic,,con,15,Con15,Dealroom1.3+Con15@gmail.com
Maxtra,,con,16,Con16,Dealroom1.3+Con16@gmail.com
Nexus,,con,17,Con17,Dealroom1.3+Con17@gmail.com
Acc 1,,con,18,Con18,Dealroom1.3+Con18@gmail.com
Acc 2,,con,19,Con19,Dealroom1.3+Con19@gmail.com
Acc 3,,con,20,Con20,Dealroom1.3+Con20@gmail.com
Acc 4,,con,21,Con21,Dealroom1.3+Con21@gmail.com
Acc 5,,con,22,Con22,Dealroom1.3+Con22@gmail.com
Acc 6,,con,23,Con23,Dealroom1.3+Con23@gmail.com
Acc 7,,con,24,Con24,Dealroom1.3+Con24@gmail.com
Acc 8,,con,25,Con25,Dealroom1.3+Con25@gmail.com
Acc 9,,con,26,Con26,Dealroom1.3+Con26@gmail.com
Acc 10,,con,27,Con27,Dealroom1.3+Con27@gmail.com
Acc 11,,con,28,Con28,Dealroom1.3+Con28@gmail.com
Acc 12,,con,29,Con29,Dealroom1.3+Con29@gmail.com
Acc 13,,con,30,Con30,Dealroom1.3+Con30@gmail.com
Sumo Kind,,con,31,Con31,Dealroom1.3+Con31@gmail.com
Sumo Logic,,con,32,Con32,Dealroom1.3+Con32@gmail.com
Houlihan Lokey,,con,33,Con33,Dealroom1.3+Con33@gmail.com
Vertica,,con,34,Con34,Dealroom1.3+Con34@gmail.com
Maxjonic,,con,35,Con35,Dealroom1.3+Con35@gmail.com
Maxtra,,con,36,Con36,Dealroom1.3+Con36@gmail.com
Nexus,,con,37,Con37,Dealroom1.3+Con37@gmail.com
Acc 1,,con,38,Con38,Dealroom1.3+Con38@gmail.com
Acc 2,,con,39,Con39,Dealroom1.3+Con39@gmail.com
Acc 3,,con,40,Con40,Dealroom1.3+Con40@gmail.com
Acc 4,,con,41,Con41,Dealroom1.3+Con41@gmail.com
Acc 5,,con,42,Con42,Dealroom1.3+Con42@gmail.com
Acc 6,,con,43,Con43,Dealroom1.3+Con43@gmail.com
Acc 7,,con,44,Con44,Dealroom1.3+Con44@gmail.com
Acc 8,,con,45,Con45,Dealroom1.3+Con45@gmail.com
Acc 9,,con,46,Con46,Dealroom1.3+Con46@gmail.com
Acc 10,,con,47,Con47,Dealroom1.3+Con47@gmail.com
Acc 11,,con,48,Con48,Dealroom1.3+Con48@gmail.com
Acc 12,,con,49,Con49,Dealroom1.3+Con49@gmail.com
Acc 13,,con,50,Con50,Dealroom1.3+Con50@gmail.com
Sumo Kind,,con,51,Con51,Dealroom1.3+Con51@gmail.com
Sumo Logic,,con,52,Con52,Dealroom1.3+Con52@gmail.com
Houlihan Lokey,,con,53,Con53,Dealroom1.3+Con53@gmail.com
Vertica,,con,54,Con54,Dealroom1.3+Con54@gmail.com
Maxjonic,,con,55,Con55,Dealroom1.3+Con55@gmail.com
Maxtra,,con,56,Con56,Dealroom1.3+Con56@gmail.com
Nexus,,con,57,Con57,Dealroom1.3+Con57@gmail.com
